MonsterLocationId,MonsterId,LocationId,SeasonId,WeatherId,IsMiniBoss
1,107,3,2,1,False
2,108,1,4,1,False
3,108,2,4,1,False
4,116,1,3,1,False
5,116,1,1,1,False
6,116,1,2,1,False
7,116,1,4,1,False
8,121,3,4,1,False
9,121,3,2,1,False
10,121,3,1,1,False
11,121,3,3,1,False
12,103,2,2,2,False
13,128,1,4,1,False
14,128,1,1,1,False
15,128,1,2,1,False
16,128,1,3,1,False
17,133,1,3,1,False
18,141,3,1,1,False
19,142,3,4,1,False
20,142,3,1,1,False
21,142,3,2,1,False
22,142,3,3,1,False
23,149,1,4,1,False
24,149,1,1,1,False
25,149,1,2,1,False
26,149,1,3,1,False
27,149,3,4,1,False
28,149,3,1,1,False
29,149,3,2,1,False
30,149,3,3,1,False
31,150,1,2,1,False
32,158,1,1,1,False
33,158,2,1,1,False
34,160,3,1,1,False
35,160,3,2,1,False
36,160,3,3,1,False
37,162,3,4,1,False
38,165,2,4,1,False
39,165,2,1,1,False
40,165,2,2,1,False
41,165,2,3,1,False
42,166,1,2,1,False
43,166,2,2,1,False
44,104,3,4,1,False
45,104,3,1,1,False
46,104,3,2,1,False
47,104,3,3,1,False
48,183,1,4,1,False
49,185,1,1,1,False
50,187,1,4,1,False
51,187,1,1,1,False
52,187,1,2,1,False
53,187,1,3,1,False
54,188,3,4,1,False
55,188,3,1,1,False
56,188,3,2,1,False
57,188,3,3,1,False
58,190,2,1,1,False
59,190,3,1,1,False
60,191,2,4,1,False
61,191,2,1,1,False
62,191,2,2,1,False
63,191,2,3,1,False
64,194,2,3,1,False
65,194,3,3,1,False
66,195,2,4,1,False
67,195,2,1,1,False
68,195,2,2,1,False
69,195,2,3,1,False
70,199,1,4,1,False
71,199,1,1,1,False
72,199,1,2,1,False
73,199,1,3,1,False
74,199,3,4,1,False
75,199,3,1,1,False
76,199,3,2,1,False
77,199,3,3,1,False
78,223,2,4,1,False
79,234,3,2,1,False
80,105,3,4,1,False
81,105,3,1,1,False
82,105,3,2,1,False
83,105,3,3,1,False
84,238,2,4,1,False
85,238,2,1,1,False
86,238,2,3,1,False
87,101,1,4,1,False
88,101,1,1,1,False
89,101,1,2,1,False
90,101,1,3,1,False
91,252,3,4,1,False
92,254,1,2,1,False
93,259,1,4,1,False
94,260,3,3,1,False
95,263,1,4,1,False
96,263,1,1,1,False
97,263,1,2,1,False
98,263,1,3,1,False
99,102,1,1,1,False
100,102,1,2,1,False
101,102,1,3,1,False
102,102,2,2,2,False
103,270,1,3,1,False
104,270,2,3,1,False
106,101,10,1,1,False
107,101,10,4,1,False
108,101,10,2,1,False
109,101,10,3,1,False
110,101,5,1,1,False
111,101,5,4,1,False
112,101,5,2,1,False
113,101,5,3,1,False
114,167,4,1,1,False
115,167,4,4,1,False
116,167,4,2,1,False
117,167,4,3,1,False
118,167,11,1,1,False
119,167,11,4,1,False
120,167,11,2,1,False
121,167,11,3,1,False
122,230,5,1,1,False
123,230,5,4,1,False
124,230,5,2,1,False
125,230,5,3,1,False
126,102,1,1,2,False
127,102,1,2,2,False
128,102,1,3,2,False
129,102,9,2,2,False
130,102,13,2,2,False
131,103,9,2,2,False
132,104,18,1,2,False
133,104,18,4,2,False
134,104,18,2,2,False
135,104,18,3,2,False
136,104,12,4,2,False
137,246,10,4,2,False
138,246,4,4,1,False
139,246,14,4,2,False
140,245,5,4,1,False
141,243,6,3,1,False
142,241,6,1,1,False
143,241,6,4,1,False
144,241,6,2,1,False
145,241,6,3,1,False
146,241,8,1,1,False
147,241,8,4,1,False
148,241,8,2,1,False
149,241,8,3,1,False
150,105,10,1,2,False
151,105,10,2,2,False
152,105,10,3,2,False
153,105,4,1,1,False
154,105,4,4,1,False
155,105,4,2,1,False
156,105,4,3,1,False
157,105,14,1,2,False
158,105,14,2,2,False
159,105,14,3,2,False
160,152,10,1,1,False
161,152,10,4,1,False
162,152,10,2,1,False
163,152,10,3,1,False
164,289,17,2,1,False
165,304,12,4,2,False
166,304,18,1,2,False
167,304,18,4,2,False
168,304,18,2,2,False
169,304,18,3,2,False
170,228,10,1,1,False
171,228,10,4,1,False
172,228,10,2,1,False
173,228,10,3,1,False
174,248,10,4,1,False
175,248,14,4,1,False
176,248,19,4,1,False
177,248,8,4,1,False
178,145,19,1,2,False
179,145,19,4,2,False
180,145,19,2,2,False
181,145,8,1,2,False
182,145,8,4,2,False
183,145,8,2,2,False
184,323,9,1,1,False
185,323,9,4,1,False
186,323,9,2,1,False
187,323,9,3,1,False
188,323,10,1,1,False
189,323,10,4,1,False
190,323,10,2,1,False
191,323,10,3,1,False
192,323,11,1,1,False
193,323,11,4,1,False
194,323,11,2,1,False
195,323,11,3,1,False
196,323,14,1,1,False
197,323,14,4,1,False
198,323,14,2,1,False
199,323,14,3,1,False
200,323,18,1,1,False
201,323,18,4,1,False
202,323,18,2,1,False
203,323,18,3,1,False
204,323,12,1,1,False
205,323,12,4,1,False
206,323,12,2,1,False
207,323,12,3,1,False
208,323,8,1,1,False
209,323,8,4,1,False
210,323,8,2,1,False
211,323,8,3,1,False
212,326,12,4,2,False
213,327,14,1,2,False
214,327,14,2,2,False
215,327,14,3,2,False
216,329,11,1,1,False
217,329,11,4,1,False
218,329,11,2,1,False
219,329,11,3,1,False
220,329,17,1,1,False
221,329,17,4,1,False
222,329,17,2,1,False
223,329,17,3,1,False
224,330,9,2,2,False
225,330,13,2,2,False
226,331,14,1,1,False
227,331,18,1,1,False
228,331,19,1,1,False
229,332,11,3,1,False
230,332,17,3,1,False
231,333,17,1,1,False
232,333,17,4,1,False
233,333,17,2,1,False
234,333,17,3,1,False
235,640,17,1,1,False
236,640,17,4,1,False
237,640,17,2,1,False
238,640,17,3,1,False
239,336,17,1,2,False
240,336,17,4,2,False
241,336,17,2,2,False
242,337,19,1,1,False
243,337,19,4,1,False
244,337,19,2,1,False
245,337,19,3,1,False
246,338,13,1,1,False
247,338,13,4,1,False
248,338,13,2,1,False
249,338,13,3,1,False
250,338,17,1,1,False
251,338,17,4,1,False
252,338,17,2,1,False
253,338,17,3,1,False
254,338,14,1,1,False
255,338,14,4,1,False
256,338,14,2,1,False
257,338,14,3,1,False
258,338,18,1,1,False
259,338,18,4,1,False
260,338,18,2,1,False
261,338,18,3,1,False
262,338,19,1,1,False
263,338,19,4,1,False
264,338,19,2,1,False
265,338,19,3,1,False
266,345,17,1,1,True
267,345,17,4,1,True
268,345,17,2,1,True
269,345,17,3,1,True
270,347,18,1,1,True
271,347,18,4,1,True
272,347,18,2,1,True
273,347,18,3,1,True
274,348,13,1,1,False
275,348,13,4,1,False
276,348,13,2,1,False
277,348,13,3,1,False
278,348,17,1,1,False
279,348,17,4,1,False
280,348,17,2,1,False
281,348,17,3,1,False
282,348,14,1,1,False
283,348,14,4,1,False
284,348,14,2,1,False
285,348,14,3,1,False
286,348,18,1,1,False
287,348,18,4,1,False
288,348,18,2,1,False
289,348,18,3,1,False
290,348,19,1,1,False
291,348,19,4,1,False
292,348,19,2,1,False
293,348,19,3,1,False
294,187,4,1,1,False
295,187,4,4,1,False
296,187,4,2,1,False
297,187,4,3,1,False
298,107,10,2,1,False
299,107,6,1,2,False
300,107,6,4,2,False
301,107,6,2,2,False
302,107,8,1,2,False
303,107,8,4,2,False
304,107,8,2,2,False
305,107,19,1,2,False
306,107,19,4,2,False
307,107,19,2,2,False
308,142,2,1,1,False
309,142,2,4,1,False
310,142,2,2,1,False
311,142,2,3,1,False
312,142,5,1,1,False
313,142,5,4,1,False
314,142,5,2,1,False
315,142,5,3,1,False
316,109,6,3,2,False
317,109,8,3,2,False
318,138,11,1,2,False
319,138,11,4,2,False
320,138,11,2,2,False
321,124,5,1,1,False
322,124,5,4,1,False
323,124,5,2,1,False
324,124,5,3,1,False
325,313,12,3,2,False
326,313,18,3,1,False
327,276,5,1,1,True
328,276,5,4,1,True
329,276,5,2,1,True
330,276,5,3,1,True
331,321,3,1,1,True
332,321,3,4,1,True
333,321,3,2,1,True
334,321,3,3,1,True
335,355,14,1,1,False
336,355,14,4,1,False
337,355,14,2,1,False
338,355,14,3,1,False
339,192,2,1,1,True
340,192,2,4,1,True
341,192,2,2,1,True
342,192,2,3,1,True
343,299,19,1,1,False
344,299,19,4,1,False
345,299,19,2,1,False
346,299,19,3,1,False
347,360,19,1,1,False
348,360,19,4,1,False
349,360,19,2,1,False
350,360,19,3,1,False
351,362,14,4,1,False
352,366,17,1,1,False
